LESSON;ORTHOGRAPHY;NB WORDS;AUDIOFILE NAME;WORD SWAP INDEX;PENGUIN WORDS;PENGUIN SENTENCES;SECTOR NUMBER
30;Tu as caché tes trésors.;5;Phrase_184;-;0;0;8
30;Es-tu parti ?;3;Phrase_185;-;0;0;8
30;Louise a trouvé ses chats.;5;-;-1;0;0;8
30;Il a des visiteurs.;4;Phrase_186;-;0;0;8
31;Louise a ramassé les roses et le mimosa de mamie.;10;Phrase_177;-;0;0;9
31;Le voleur est idiot. Il a oublié le trésor.;9;Phrase_187;-;0;0;9
31;Tu es malade et fiévreux.;5;Phrase_188;-1;0;0;9
31;Le lac est bleu.;4;Phrase_189;-;0;0;9
31;J'avale et je recrache.;4;Phrase_190;-;0;0;9
31;Il est revenu du Brésil.;5;Phrase_191;-;0;0;9
31;Tu es revenu du Brésil.;5;-;4;0;0;9
31;"La pelouse est verte. Il y a des tulipes, des roses et des marguerites partout.";15;Phrase_195;-;0;0;9
31;Il est puni.;3;Phrase_196;-1;0;0;9
31;Il est parti;3;Phrase_197;4;0;0;9
31;Louise s'est lavée.;3;Phrase_198;-;0;0;9
31;Médor s'est mordu.;3;Phrase_199;-;0;0;9
31;Mamie est passée.;3;Phrase_200;-;0;0;9
31;Est-il tard ?;3;Phrase_201;4;0;0;9
31;Est-il tôt ?;3;Phrase_202;-;0;0;9
31;Est-il levé ?;3;Phrase_203;-1;0;0;9
31;Est-il malade ?;3;Phrase_204;-;0;0;9
31;"Tony n'a pas tous ses joujoux, il est jaloux.";9;Phrase_079;-;0;0;9
32;les crabes;2;-;-;1;0;9
32;des marmottes;2;-;-;1;0;9
32;les matelots;2;-;-;1;0;9
32;des fleurs;2;-;-;1;0;9
32;les cloches;2;-;-;1;0;9
32;les mariés;2;-;-;1;0;9
32;des rats;2;-;-;1;0;9
32;les valises;2;-;-;1;0;9
32;Ils marchent.;2;Phrase_205;-;0;1;9
32;Ils lisent.;2;Phrase_206;-;0;1;9
32;Ils courent.;2;Phrase_207;-;0;1;9
32;Ils pleurent.;2;Phrase_208;-;0;1;9
32;Ils dorment.;2;Phrase_209;-;0;1;9
32;Ils parlent.;2;Phrase_210;-;0;1;9
32;Ils jouent.;2;Phrase_211;-;0;1;9
32;Ils cachent.;2;Phrase_212;-;0;1;9
32;Ils portent.;2;Phrase_213;-;0;1;9
32;Marie et Jacques écrivent.;4;Phrase_214;-;0;1;9
32;Emilie et Julie cousent.;4;Phrase_215;-;0;1;9
32;Les crabes creusent.;3;Phrase_216;4;0;0;9
32;Les marmottes plient l'aluminium du chocolat.;6;Phrase_217;-;0;1;9
32;Mamie et Papi arrosent les fleurs.;6;Phrase_219;-;0;1;9
32;Ses fleurs poussent.;3;Phrase_220;-;0;1;9
32;Les fleurs poussent.;3;-;-1;0;0;9
32;Les cloches sonnent et les mariés sortent de l'église.;9;Phrase_221;-;0;1;9
32;Les chats courent sur le mur.;6;Phrase_222;-;0;1;9
32;Ils chassent les rats.;4;Phrase_223;4;0;0;9
32;Papa et Papi arrivent du Brésil.;6;Phrase_224;-;0;1;9
32;Papa pose ses valises et les valises de Papi sur le chariot.;12;Phrase_225;-;0;1;9
33;Il a passé un an dans les Pyrénées.;8;Phrase_226;-;0;0;9
33;Médor est dans sa niche.;5;Phrase_227;-;0;0;9
33;Les pandas se cachent sous les bambous.;7;Phrase_228;-;0;0;9
33;Maman plie la jambe.;4;Phrase_229;-1;0;0;9
33;Le colis est posé devant la porte.;7;Phrase_230;-;0;0;9
33;Ma cousine me tire la langue.;6;Phrase_231;-;0;0;9
33;"Pour le repas, maman et papa préparent de la viande, des légumes et des iles flottantes.";16;Phrase_232;-;0;0;9
33;Les pélicans attrapent les crabes.;5;Phrase_233;-;0;0;9
33;Je chante.;2;Phrase_234;-;0;0;9
33;Ils dansent.;2;Phrase_235;-;0;0;9
33;Mes cousines adorent le flan sans sucre.;7;Phrase_236;-;0;0;9
33;J'allume la lampe pour lire un roman.;7;Phrase_237;-;0;0;9
33;Tu changes l'ampoule.;3;Phrase_238;-;0;0;9
33;Je trouve mes tantes amusantes.;5;Phrase_239;-;0;0;9
33;Tu n'es pas marrant.;4;Phrase_242;-;0;0;9
34;"Tous les dimanches, les exposants du marché vendent des fruits et des légumes.";13;Phrase_244;-;0;0;9
34;"Étant malade, je ne suis pas allée en cours. Je suis malade, je m'ennuie et m'endors.";16;Phrase_245;-;0;0;9
34;"Pendant l'été, les pies se remplissent le ventre de fruits.";10;Phrase_248;-;0;0;9
34;"Souvent, l'été, je campe sous une tente.";7;Phrase_249;-;0;0;9
34;Il n'est pas devenu président.;5;Phrase_193;-;0;0;9
34;L'ogre a le ventre tendu car il a encore avalé goulûment des brebis dodues.;14;Phrase_251;-;0;0;9
34;J'enfile mes collants.;3;Phrase_252;-;0;0;9
34;Blanche et Yvan marchent ensemble.;5;Phrase_254;-;0;0;9
34;Il poste une enveloppe.;4;Phrase_255;-1;0;0;9
34;La viande est un aliment.;5;Phrase_256;-;0;0;9
34;Médor a emporté la viande.;5;Phrase_258;-;0;0;9
35;Je suis tombée.;3;-;-1;0;0;10
35;Le comique raconte une blague rigolote.;6;Phrase_140;-;0;0;10
35;Je porte mon anorak pour la balade sous la pluie.;10;Phrase_151;-;0;0;10
35;Le gros ballon rebondit sur la vague.;7;-;-;0;0;10
35;Il a les joues et les bras tout bronzés.;9;Phrase_192;-;0;0;10
35;Je suis tombée sur le sol.;6;Phrase_262;-;0;0;10
35;L'enfant s'est endormi dans son lit.;6;Phrase_247;-;0;0;10
35;Son oncle regarde la télévision.;5;Phrase_263;-1;0;0;10
35;On avale la bonne tarte de Barbara.;7;Phrase_132;-;0;0;10
35;Il a préféré devenir avocat comme son papi et sa mamie.;11;Phrase_194;-;0;0;10
35;Nous avons bu un bon chocolat en revenant du ski.;10;Phrase_264;-;0;0;10
35;Je dis toujours bonjour.;4;Phrase_265;-;0;0;10
35;Tu me donnes un quart de ton fruit.;8;Phrase_124;-;0;0;10
35;Mon amie la marmotte a trouvé mon tournesol.;8;Phrase_083;-;0;0;10
35;Ils font des avions en carton.;6;Phrase_266;-;0;0;10
35;Il est content.;3;Phrase_267;2;0;0;10
35;Ils vont sur le balcon. La vue est somptueuse.;9;Phrase_269;-;0;0;10
35;On a ramassé un kilo de fruits sur l'arbre.;9;Phrase_160;-;0;0;10
35;Les enfants font des biscuits.;5;Phrase_271;6;0;0;10
35;Le pot de compote est tombé et s'est cassé.;9;Phrase_273;-;0;0;10
35;La farine est répandue sur les murs.;7;Phrase_274;-;0;0;10
35;Le beurre fondu coule de la table et tombe sur le sol.;12;Phrase_275;-;0;0;10
35;"Pour l'entrée, il y a du concombre.";7;Phrase_278;-;0;0;10
35;Ton vélo roule vite sur la route.;7;Phrase_081;-;0;0;10
35;Je remplie le bidon.;4;Phrase_280;-;0;0;10
35;Gaston joue du violon.;4;Phrase_281;-;0;0;10
35;Je pilote un avion.;4;Phrase_282;-;0;0;10
35;Mon ombre me suit.;4;Phrase_283;-;0;0;10
35;Mon oncle épluche une mandarine.;5;-;8;0;0;10
36;"Un matin, Martin marche sur le chemin dans le jardin.";10;Phrase_284;-;0;0;10
36;"Mon petit cousin joue dans la boue, il est sale comme un cochon.";13;Phrase_272;-;0;0;10
36;Je suis dans le magasin. ;5;Phrase_286;-;0;0;10
36;Mon cousin a acheté des patins.;6;Phrase_287;-;0;0;10
36;Papa colle un timbre sur l'enveloppe.;6;Phrase_288;-;0;0;10
36;Tu colles le timbre.;4;-;6;0;0;10
36;Quinze poussins coquins poursuivent la dinde.;6;Phrase_289;-;0;0;10
36;La dinde court sous les pins.;6;Phrase_290;-;0;0;10
36;La dinde est bonne.;4;-;6;0;0;10
36;Ils retrouvent le joli chemin.;5;-;6;0;0;10
36;Le pingouin glisse sur la banquise.;6;Phrase_292;-;0;0;10
36;Le pingouin glisse.;3;-;4;0;0;10
36;Je me suis assis sur un coussin.;7;Phrase_294;-;0;0;10
36;Le chimpanzé grimpe.;3;Phrase_295;-1;0;0;10
36;Le pinson monte dans l'arbre.;5;-;-1;0;0;10
36;Il y a des pommes de pins dans les sapins.;10;Phrase_297;-;0;0;10
36;Le mouton broute un brin de romarin.;7;Phrase_298;-;0;0;10
37;Les moutons broutent le foin.;5;-;-1;0;0;10
37;Le labrador aboie.;3;-;-1;0;0;10
37;"Dans la basse-cour, il y a deux oies, trois poussins et quatre dindes.";13;Phrase_ 301;-;0;0;10
37;Papa se rase en se regardant dans le miroir.;9;Phrase_302;-;0;0;10
37;Je suis maladroite.;3;Phrase_303;4;0;0;10
37;Je me suis tapée le coude sur le coin de la voiture.;12;Phrase_304;-;0;0;10
37;Grégoire est maladroit.;3;Phrase_305;-;0;0;10
37;Il a trébuché sur le trottoir et s'est cassé le bras.;11;Phrase_306;-;0;0;10
37;Le cochon a le groin sale.;6;Phrase_307;-;0;0;10
37;Pourquoi ne voit-t-on les étoiles que le soir ?;9;Phrase_310;-;0;0;10
37;"Parfois, le roi doit faire des choix.";7;Phrase_311;-;0;0;10
37;Le loir a soif. Il boit goulûment puis s'endort.;9;Phrase_313;-;0;0;10
37;Médor le labrador aboie contre le chat.;7;Phrase_314;-;0;0;10
38;L'ours à la jolie fourrure rousse ramasse le fruit.;9;Phrase_035;-;0;0;11
38;La tortue a mâché une ortie.;6;-;-;0;0;11
38;La fée offre le fruit à Léo.;7;Phrase_037;-;0;0;11
38;Il va à l'école.;4;Phrase_315;-;0;0;11
38;As-tu déjà pétri une pâte à pizza ?;8;Phrase_316;-;0;0;11
38;Jérôme est à califourchon sur l'âne.;6;Phrase_318;-;0;0;11
38;Quentin tire l'âne.;3;-;-1;0;0;11
38;Le cheval mâche.;3;-;-;0;0;11
38;Le châton a pris le jambon.;6;Phrase_270;-;0;0;11
38;Le châton ronronne.;3;Phrase_279;-;0;0;11
38;Tu as donné un bisou à chacune de mes cousines.;10;Phrase_178;-;0;0;11
38;L'âne rue.;2;Phrase_320;-;0;0;11
38;Simone tombe et le bras finit dans le plâtre.;9;Phrase_321;-;0;0;11
38;Annie a une tâche sur sa jupe.;7;Phrase_322;-;0;0;11
38;Le marin monte sur le mât.;6;Phrase_323;-;0;0;11
38;Maman a mal à la mâchoire.;6;Phrase_325;-;0;0;11
38;"Mon cousin est malade, il a le visage pâle.";9;Phrase_326;-;0;0;11
38;Mon cousin chante une chanson.;5;-;4;0;0;11
38;Je suis fâchée contre papi.  Il a lâché son bâton. Il est tombé sur mon crâne. ;16;Phrase_328;-;0;0;11
38;Je dévore les pâtes.;4;-;-1;0;0;11
39;Le mandarin pépie et le pinson aussi.;7;Phrase_296;-;0;0;11
39;Antoine et moi partons en voiture pour voir les chimpanzés au jardin.;12;Phrase_299;-;0;0;11
39;Le poussin est jaune.;4;Phrase_331;4;0;0;11
39;Ils jouent au ballon.;4;Phrase_268;-;0;0;11
39;Je bois de l'eau.;4;Phrase_332;-;0;0;11
39;La taupe creuse dans le sol.;6;Phrase_333;-;0;0;11
39;Papa m'a montré son bureau.;5;Phrase_334;-;0;0;11
39;Il est beau.;3;Phrase_335;-;0;0;11
39;J'ai cassé les bocaux de confiture de mamie.;8;Phrase_336;-;0;0;11
39;Il a cassé les bocaux.;5;-;-1;0;0;11
39;Le cheval et le chameau sont des animaux.;8;Phrase_337;-;0;0;11
39;Je porte le chapeau de papa et le manteau de maman.;11;Phrase_338;-;0;0;11
39;Maman et moi allons au port.;6;Phrase_339;-;0;0;11
39;Nous partons en bateau sur l'eau.;6;Phrase_440;-;0;0;11
39;Le bateau coule.;3;-;-1;0;0;11
39;Nous allons au Pôle Sud voir les pingouins.;8;Phrase_341;-;0;0;11
39;Le faucon et le corbeau sont des oiseaux.;8;Phrase_342;-;0;0;11
39;Les dinosaures ont disparu.;4;Phrase_343;-;0;0;11
39;Papa a coupé le gâteau en utilisant le couteau.;9;Phrase_344;-;0;0;11
39;Il sert Maman et Cléo.;5;Phrase_345;-;0;0;11
39;Momo en veut aussi.;4;Phrase_346;-;0;0;11
39;Le veau est le petit de la vache.;8;Phrase_347;-;0;0;11
39;Je ne chante pas faux.;5;Phrase_350;-;0;0;11
39;"A côté du ruisseau, le crapaud a sauté sur le rocher pour se poser.";14;Phrase_351;-;0;0;11
39;As-tu ton manteau ?;4;-;4;0;0;11
39;Tu chantes faux.;3;-;4;0;0;11
39;Regarde le faucon.;3;-;2;0;0;11
39;Coupe les gâteaux.;3;-;-1;0;0;11
40;Tu as le même cartable que moi.;7;Phrase_353;-;0;0;11
40;Ton père et ton frère ont vu une bête.;9;Phrase_354;-;0;0;11
40;Je pèle une pêche.;4;-;-1;0;0;11
40;Ta maman est très en colère !;7;Phrase_355;-;0;0;11
40;Notre maman est en colère !;6;-;-1;0;0;11
40;Ton petit frère grimpe dans le chêne.;7;Phrase_359;-;0;0;11
40;Préfères-tu être piqué par une guêpe ou mordu par une vipère ?;12;Phrase_360;-;0;0;11
40;Juste ni l'un ni l'autre !;6;Phrase_361;-;0;0;11
40;Tu es un bon élève.;5;Phrase_362;-;0;0;11
40;Le marin pêche le requin.;5;Phrase_293;-;0;0;11
40;Le jour se lève.;4;Phrase_045;-;0;0;11
40;Les biscuits ont disparu de leurs bocaux !;8;Phrase_363;-;0;0;11
40;C'est un mystère...;3;Phrase_364;-;0;0;11
40;Le zèbre galope dans la savane.;6;Phrase_365;-;0;0;11
41;"Tu as mal au coeur, tu as goulument dévoré trop de crêpes.";12;Phrase_367;-;0;0;12
41;Maman a cuit un oeuf dur.;6;Phrase_368;-;0;0;12
41;Papa est en colère.;4;Phrase_366;-;0;0;12
41;Il y a un oeuf dans mon gâteau.;8;Phrase_369;-;0;0;12
41;Ta petite soeur peut venir aussi.;6;Phrase_370;-;0;0;12
41;Ta petite soeur peut venir.;5;-;8;0;0;12
41;"Nous allons au restaurant. Sur le menu du jour, il y a du boeuf et des poireaux. ";17;Phrase_371;-;0;0;12
41;Nous allons tous au restaurant.;5;-;-1;0;0;12
41;Ma soeur est tombée sur le sol.;7;Phrase_372;-;0;0;12
41;Tu m'as donné ton coeur. Je suis ton amoureuse.;9;Phrase_373;-;0;0;12
41;Nous avons deux crêpes chaudes.;5;-;6;0;0;12
42;un brigand;2;-;-;1;0;12
42;le boulevard;2;-;-;1;0;12
42;l'étang;1;-;-;1;0;12
42;un foulard;2;-;-;1;0;12
42;un fusil;2;-;-;1;0;12
42;le guépard;2;-;-;1;0;12
42;un canard;2;-;-;1;0;12
42;le crapaud;2;-;-;1;0;12
42;le léopard;2;-;-;1;0;12
42;le lézard;2;-;-;1;0;12
42;un loup;2;-;-;1;0;12
42;un noeud;2;-;-;1;0;12
42;le nid;2;-;-;1;0;12
42;le nord;2;-;-;1;0;12
42;un porc;2;-;-;1;0;12
42;un renard;2;-;-;1;0;12
42;le riz;2;-;-;1;0;12
42;le sirop;2;-;-;1;0;12
42;des brigands;2;-;-;1;0;12
42;les crocs;2;-;-;1;0;12
42;des pétards;2;-;-;1;0;12
42;les têtards;2;-;-;1;0;12
42;les draps;2;-;-;1;0;12
